sudistract,distract,sdID
月湖街道,汉阳区,0
洲头街道,汉阳区,1
江汉二桥街道,汉阳区,2
翠微街道,汉阳区,3
五里墩街道,汉阳区,4
建桥街道,汉阳区,5
鹦鹉街道,汉阳区,6
晴川街道,汉阳区,7
江堤街道,汉阳区,8
六角亭街道,硚口区,9
韩家墩街道,硚口区,10
汉水桥街道,硚口区,11
宗关街道,硚口区,12
汉中街道,硚口区,13
易家墩街道,硚口区,14
宝丰街道,硚口区,15
长丰街道,硚口区,16
崇仁街道,硚口区,17
汉正街街道,硚口区,18
四新管委会,汉阳区,19
永丰街道,汉阳区,20
琴断口街道,汉阳区,21
上海街道,江岸区,22
永清街道,江岸区,23
台北街道,江岸区,24
谌家矶街道,江岸区,25
后湖街道,江岸区,26
球场街道,江岸区,27
二七街道,江岸区,28
大智街道,江岸区,29
一元街道,江岸区,30
丹水池街道,江岸区,31
花桥街道,江岸区,32
车站街道,江岸区,33
新村街道,江岸区,34
西马街道,江岸区,35
劳动街道,江岸区,36
民意街道,江汉区,37
北湖街道,江汉区,38
汉兴街道,江汉区,39
民族街道,江汉区,40
前进街道,江汉区,41
常青街道,江汉区,42
水塔街道,江汉区,43
唐家墩街道,江汉区,44
满春街道,江汉区,45
民权街道,江汉区,46
万松街道,江汉区,47
花楼街道,江汉区,48
新华街道,江汉区,49
南湖街道,武昌区,50
粮道街街道,武昌区,51
杨园街道,武昌区,52
徐家棚街道,武昌区,53
首义路街道,武昌区,54
中华路街道,武昌区,55
积玉桥街道,武昌区,56
黄鹤楼街道,武昌区,57
白沙洲街道,武昌区,58
中南路街道,武昌区,59
紫阳街道,武昌区,60
九峰乡,洪山区,61
珞南街道,洪山区,62
青菱乡,洪山区,63
天兴乡,洪山区,64
左岭镇,洪山区,65
张家湾街道,洪山区,66
花山镇,洪山区,67
红旗街道,洪山区,68
狮子山街道,洪山区,69
葛化街道,洪山区,70
四唯街道,江岸区,71
王家墩中央商务区（建设中）,江汉区,72
荣华街道,硚口区,73
东湖生态旅游风景区,武昌区,74
新沟桥街道,青山区,75
钢花村街道,青山区,76
青山镇街道,青山区,77
白玉山街道,青山区,78
冶金街道,青山区,79
武东街道,青山区,80
工人村街道,青山区,81
红卫路街道,青山区,82
红钢城街道,青山区,83
武汉钢铁集团公司,青山区,84
水果湖街道,武昌区,85
珞珈山街道,武昌区,86
关山街道,洪山区,87
建设乡,洪山区,88
洪山街道,洪山区,89
和平街道,洪山区,90
厂前街道,青山区,91
